Wall time,Step,Value
1736751109.746373,16333244,0.45050540566444397
1736751305.8242335,16361701,1.1965900659561157
1736751318.6771996,16363627,1.1150777339935303
1736751349.1413515,16368049,0.7810700535774231
1736752038.932642,16467464,1.5944279432296753
1736752147.8520377,16483360,-0.2952492833137512
1736752193.1949077,16489752,0.31357836723327637
1736752303.9499977,16505895,0.927170991897583
1736752333.4682934,16510223,0.043983448296785355
1736752391.4946535,16518342,0.2494436353445053
1736752578.791385,16545587,1.2059497833251953
1736752782.4573941,16574956,1.9067069292068481
1736752859.0477874,16585963,0.18760961294174194
1736753164.8689106,16630052,1.423108696937561
1736753344.158252,16655597,2.320012092590332
1736754229.950995,16782243,2.022338390350342
1736754317.226387,16794871,0.8029600381851196
1736754399.0921013,16806658,0.782370388507843
1736755410.3226988,16950603,2.4681954383850098
1736756121.9453793,17052654,1.4494171142578125
1736756189.7205687,17062322,2.113464593887329
1736756324.411033,17081415,1.9397786855697632
1736756592.2603137,17119787,0.41680651903152466
1736756716.6435144,17137756,2.593486785888672
1736757145.9807425,17199409,0.6876294612884521
1736757250.0443063,17214317,0.7858877778053284
1736757250.7919056,17214427,0.2138945609331131
1736757928.9195323,17311762,0.4458473026752472
1736757940.380635,17313387,1.588576316833496
1736758581.3663123,17405113,-0.1543455570936203
1736758746.1118076,17428200,0.7626975774765015
1736758826.728274,17440004,1.1139572858810425
1736758883.0153277,17448114,-0.39602959156036377
1736759109.892807,17480174,0.7128164172172546
1736759279.1042607,17504351,1.3883661031723022
1736759444.7007809,17527580,0.684078574180603
1736759504.822907,17536340,0.5107620358467102
1736759594.722372,17549020,0.7672979831695557
1736760198.0153852,17634877,1.4967530965805054
1736760244.914048,17641638,1.7418897151947021
1736760271.2870066,17645412,1.791154146194458
1736760368.8793187,17659369,-0.862309992313385
1736760431.9146407,17668300,1.8599061965942383
1736760552.0679657,17685529,1.2196775674819946
1736760785.22207,17718765,0.9035546183586121
1736761244.51901,17783783,1.6095222234725952
1736761358.8483748,17800227,2.8917720317840576
1736761676.5498924,17845382,0.39375215768814087
1736762006.16312,17892418,1.128996729850769
1736762112.5629256,17907626,-0.22428500652313232
1736762220.0864148,17923217,1.146263837814331
1736762320.0052226,17937407,0.5295785665512085
1736762535.0624492,17968426,0.9477636814117432
1736762777.7258124,18003113,2.4048871994018555
1736762857.0212011,18014417,0.2509233057498932
1736762895.557777,18019993,1.0886445045471191
1736762941.3621593,18026413,1.7489820718765259
1736762970.9848266,18030625,2.1303603649139404
1736763476.273391,18103016,1.8361859321594238
1736763531.2613187,18110761,1.4167319536209106
1736763981.2192187,18174339,0.7183721661567688
1736764242.907032,18211538,0.48353877663612366
1736764306.6684892,18220806,0.9902762770652771
1736764396.2454915,18233571,1.5505871772766113
1736764775.4900763,18287956,2.9438958168029785
1736764946.9697795,18312615,1.325829029083252
1736765318.0612407,18366128,2.0735104084014893
1736765449.031822,18384687,2.1415069103240967
1736765910.069094,18451021,1.881787896156311
1736765990.6987193,18462818,0.6551814675331116
1736766329.9925365,18511844,1.8216034173965454
1736766403.423841,18522652,1.7138241529464722
1736766661.6808317,18560033,1.7458916902542114
1736767538.199781,18687422,2.5027129650115967
1736767762.7946408,18720473,0.5008190870285034
1736767770.121691,18721536,1.486035704612732
1736768105.014793,18769725,0.9922101497650146
1736768191.4678843,18782107,0.5211371183395386
1736768435.3165069,18817074,0.7008795738220215
1736768448.5279672,18818963,2.3707542419433594
1736768459.3127387,18820540,0.7692334651947021
1736768606.5809562,18841883,0.6819482445716858
1736768613.2390275,18842842,0.5377699136734009
1736768717.914492,18857939,0.7523600459098816
1736768746.0719006,18861922,0.6890523433685303
1736768886.6444268,18882615,0.6630610823631287
1736769075.720506,18910553,-0.20794402062892914
1736769331.279159,18947751,0.9692351222038269
1736769386.4676812,18955922,1.9620260000228882
1736769476.3034172,18968617,0.9894497990608215
1736769533.9562366,18976802,0.704188883304596
1736769658.482976,18995382,2.126394510269165
1736769769.9720204,19011831,0.9799014925956726
1736769842.9630692,19022483,0.583230197429657
1736769913.362092,19032713,1.5235772132873535
1736770311.8978684,19090059,1.3020435571670532
1736770315.7640903,19090635,1.329994559288025
1736770861.259726,19169670,2.180962324142456
1736770927.5164185,19179462,0.327628493309021
1736771131.6473927,19208661,0.8920773267745972
1736771250.5234845,19225618,1.4288619756698608
1736771348.4339437,19239807,-0.07700749486684799
1736772417.1907766,19393249,1.0951696634292603
1736772488.444788,19403703,1.3389534950256348
1736773057.4691389,19485256,1.391052484512329
1736773106.089271,19492248,-0.2475063055753708
1736773342.877172,19526323,-0.4197070598602295
1736773353.5747058,19527803,0.6373893618583679
1736773422.7720914,19537663,1.5615177154541016
1736773444.2111857,19540821,0.1301446408033371
1736773760.5864358,19586515,1.6365886926651
1736773795.0545206,19591233,0.8896307349205017
1736773823.4602976,19595221,2.0051510334014893
1736773996.7964373,19620198,0.30663222074508667
1736774689.5447962,19720529,1.9007227420806885
1736774860.3006055,19745544,0.7062966227531433
1736774943.9638104,19757732,0.9750002026557922
1736775285.5984964,19807521,1.6567111015319824
1736775326.8961647,19813648,0.2926945090293884
1736775429.361662,19828575,1.2936842441558838
1736775589.5102134,19851883,0.9708485007286072
1736775632.9972234,19858180,0.27326011657714844
1736775655.1775608,19861295,1.3113855123519897
1736775762.9078832,19877001,0.06276800483465195
1736775916.29836,19899432,1.0057469606399536
1736776179.434746,19937857,1.9522624015808105
1736776427.8665605,19973976,1.5277506113052368
1736776560.896281,19993484,-0.1828165054321289
1736776633.0761447,20004098,2.0898938179016113
1736776675.3244572,20010218,1.0683664083480835
1736776819.3249285,20031415,1.9140499830245972
1736776825.1518395,20032254,-0.12233102321624756
1736777052.503026,20065370,-0.17152376472949982
1736777057.2346332,20066122,1.46042001247406
1736777088.3396564,20070542,1.909956693649292
1736777098.6763017,20072107,-0.2772202789783478
1736777155.064103,20080365,0.408993124961853
1736777305.5578473,20102418,1.0282278060913086
1736777403.501793,20116284,0.5838083624839783
1736777446.657386,20122288,1.245965838432312
1736777462.1786153,20124612,0.5644353032112122
1736777469.6360986,20125670,0.499089777469635
1736777593.9233787,20143799,1.9931800365447998
1736777643.4693725,20151212,1.9431061744689941
1736777811.8316088,20175688,1.0626640319824219
1736778091.2774727,20216294,0.6275310516357422
1736778223.9690483,20235585,0.24720831215381622
1736778237.0500407,20237441,1.2254836559295654
1736778305.7608838,20247495,1.8348714113235474
1736778389.3212457,20259728,1.6495003700256348
1736778432.0650983,20265812,1.6149307489395142
1736779104.3080485,20362841,-0.0009780720574781299
1736779364.031292,20399997,1.0218093395233154
1736779409.1593273,20406483,1.5565968751907349
1736779446.7565558,20411933,-0.018065040931105614
1736779528.8620527,20423813,2.47088885307312
1736779570.2171445,20429925,2.096903085708618
1736779673.939381,20444972,1.4713715314865112
1736779940.8164463,20483495,0.6753770112991333
1736779990.4068828,20490560,1.2647686004638672
1736780100.556868,20506482,0.37768909335136414
1736780343.3510895,20540920,2.5514094829559326
1736780465.79081,20559101,0.6390311121940613
1736780586.3996987,20576688,1.6232231855392456
1736780768.8966777,20603215,0.46690940856933594
1736781067.1490853,20646665,0.31579825282096863
1736781117.5089476,20654098,-0.4399644732475281
1736781165.4949462,20661133,1.3915306329727173
1736781601.343727,20724181,0.7134307622909546
1736781651.3878417,20731149,0.17745298147201538
1736781709.92108,20739579,1.1402407884597778
1736782313.9095979,20827851,0.033220771700143814
1736782324.9109445,20829504,0.7390117645263672
1736782767.217008,20893186,1.6191805601119995
1736782952.9287548,20920534,0.40206828713417053
1736783004.4385548,20927844,1.2862550020217896
1736783310.6591585,20972374,0.7297024726867676
1736783569.5325465,21010109,0.8805473446846008
1736784450.8128822,21138270,0.26321497559547424
1736784638.7081046,21165175,1.4807255268096924
1736784908.7633762,21204559,0.8499733209609985
1736784960.3705971,21211790,0.33074694871902466
